Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Upstream tier 1 (ISIC Division/Group/Class),ISIC level used for upstream tier 1 link,Upstream tier 2 (ISIC Division/Group/Class),ISIC level used for upstream tier 2 link
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Gambling and betting activities,ISIC Division,Programming and broadcasting activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Gambling and betting activities,ISIC Division,Real estate activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Gambling and betting activities,ISIC Division,Sports activities and amusement and recreation activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Gambling and betting activities,ISIC Division,Telecommunications,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Gambling and betting activities,ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Information service activities,ISIC Division,Accommodation,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Information service activities,ISIC Division,"Creative, arts and entertainment activities",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Information service activities,ISIC Division,Food and beverage service activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Information service activities,ISIC Division,Gambling and betting activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Information service activities,ISIC Division,Information service activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Information service activities,ISIC Division,"Libraries, archives, museums and other cultural activities",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Information service activities,ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Information service activities,ISIC Division,Postal and courier activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Information service activities,ISIC Division,Programming and broadcasting activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Information service activities,ISIC Division,Real estate activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Information service activities,ISIC Division,Sports activities and amusement and recreation activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Information service activities,ISIC Division,Telecommunications,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,Information service activities,ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,Accommodation,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,"Creative, arts and entertainment activities",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,Food and beverage service activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,Gambling and betting activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,Information service activities,ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,"Libraries, archives, museums and other cultural activities",ISIC Division
"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,ISIC Group,"Libraries, archives, museums and other cultural activities",ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
